Rank,ID,Category,Skills_Total,Skills_Matched,Skills_Missing,Match_Score,Matched_Skills,Missing_Skills,Category_Level,Weighted_Score,TFIDF_Score,Combined_Score
1583,26125407,Poor Match,3,1,25,3.8,['benefits'],"['performance management', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,3.5,3.7
1584,58165257,Poor Match,2,1,25,3.8,['microsoft office'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,20.0,8.7
1585,93653247,Poor Match,4,1,25,3.8,['compliance'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,25.4,10.3
1586,24553863,Poor Match,4,1,25,3.8,['compliance'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,13.0,6.6
1587,25101183,Poor Match,4,1,25,3.8,['compliance'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,8.2,5.1
1588,15811992,Poor Match,8,1,25,3.8,['payroll'],"['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'excel', 'recruitment']",Poor Match (Reject),3.8,5.0,4.2
1589,14871762,Poor Match,4,1,25,3.8,['excel'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'conflict resolution']",Poor Match (Reject),3.8,10.5,5.8
1590,14861855,Poor Match,3,1,25,3.8,['compliance'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,5.6,4.3
1591,26480367,Poor Match,4,1,25,3.8,['microsoft office'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,9.9,5.6
1592,81761658,Poor Match,5,1,25,3.8,['microsoft office'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,8.6,5.2
1593,23666211,Poor Match,8,1,25,3.8,['orientation'],"['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'excel', 'recruitment']",Poor Match (Reject),3.8,10.3,5.8
1594,31292364,Poor Match,6,1,25,3.8,['microsoft office'],"['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'excel', 'recruitment']",Poor Match (Reject),3.8,3.6,3.7
1595,11902276,Poor Match,3,1,25,3.8,['conflict resolution'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel']",Poor Match (Reject),3.8,8.1,5.1
1596,27295996,Poor Match,5,1,25,3.8,['compliance'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,5.8,4.4
1597,13313917,Poor Match,3,1,25,3.8,['microsoft office'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,4.3,3.9
1598,16964217,Poor Match,2,1,25,3.8,['benefits'],"['performance management', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,4.2,3.9
1599,22351830,Poor Match,7,1,25,3.8,['adp'],"['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'excel', 'recruitment']",Poor Match (Reject),8.8,9.8,5.6
1600,18227306,Poor Match,5,1,25,3.8,['onboarding'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,4.3,3.9
1601,31201660,Poor Match,5,1,25,3.8,['compliance'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,3.0,3.6
1602,56792999,Poor Match,5,1,25,3.8,['compliance'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,5.1,4.2
1603,24767027,Poor Match,6,1,25,3.8,['benefits'],"['performance management', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'excel', 'recruitment']",Poor Match (Reject),3.8,5.1,4.2
1604,70603826,Poor Match,7,1,25,3.8,['benefits'],"['performance management', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'excel', 'recruitment']",Poor Match (Reject),3.8,3.3,3.6
1605,11130200,Poor Match,4,1,25,3.8,['benefits'],"['performance management', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,6.0,4.5
1606,10969918,Poor Match,2,1,25,3.8,['compliance'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,5.1,4.2
1607,39413067,Poor Match,4,1,25,3.8,['microsoft office'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,30.3,11.8
1608,32042584,Poor Match,2,1,25,3.8,['microsoft office'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,4.3,3.9
1609,88038965,Poor Match,2,1,25,3.8,['payroll'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'onboarding', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,8.8,5.3
1610,14593060,Poor Match,6,1,25,3.8,['compliance'],"['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'excel', 'recruitment']",Poor Match (Reject),3.8,6.4,4.6
1611,23302948,Poor Match,4,1,25,3.8,['excel'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'conflict resolution']",Poor Match (Reject),3.8,3.0,3.6
1612,24828381,Poor Match,7,1,25,3.8,['conflict resolution'],"['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'excel', 'recruitment']",Poor Match (Reject),3.8,1.7,3.2
1613,38896303,Poor Match,4,1,25,3.8,['payroll'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'onboarding', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,4.9,4.1
1614,38399177,Poor Match,5,1,25,3.8,['recruitment'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,7.3,4.8
1615,29647215,Poor Match,3,1,25,3.8,['microsoft office'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,2.9,3.5
1616,48547319,Poor Match,3,1,25,3.8,['orientation'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,5.9,4.4
1617,76916835,Poor Match,3,1,25,3.8,['benefits'],"['performance management', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,4.9,4.1
1618,17730889,Poor Match,4,1,25,3.8,['microsoft office'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,10.2,5.7
1619,67501448,Poor Match,2,1,25,3.8,['dental'],"['performance management', 'benefits', 'ada', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,11.4,6.1
1620,91467795,Poor Match,4,1,25,3.8,['microsoft office'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,2.5,3.4
1621,27694040,Poor Match,2,1,25,3.8,['compliance'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,3.9,3.8
1622,29521434,Poor Match,3,1,25,3.8,['conflict resolution'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel']",Poor Match (Reject),3.8,4.3,3.9
1623,16391949,Poor Match,1,1,25,3.8,['conflict resolution'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel']",Poor Match (Reject),3.8,1.6,3.1
1624,13418452,Poor Match,6,1,25,3.8,['compliance'],"['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'excel', 'recruitment']",Poor Match (Reject),3.8,6.6,4.6
1625,12191094,Poor Match,2,1,25,3.8,['compliance'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,4.6,4.0
1626,20905088,Poor Match,4,1,25,3.8,['excel'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'conflict resolution']",Poor Match (Reject),3.8,10.0,5.7
1627,15154822,Poor Match,2,1,25,3.8,['microsoft office'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,8.2,5.1
1628,91533580,Poor Match,7,1,25,3.8,['payroll'],"['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'excel', 'recruitment']",Poor Match (Reject),3.8,8.2,5.1
1629,22546476,Poor Match,3,1,25,3.8,['compliance'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,3.4,3.7
1630,27187994,Poor Match,2,1,25,3.8,['word'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,7.7,5.0
1631,11650031,Poor Match,1,1,25,3.8,['compliance'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,2.8,3.5
1632,28290448,Poor Match,4,1,25,3.8,['microsoft office'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,18.0,8.1
1633,27099856,Poor Match,2,1,25,3.8,['microsoft office'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,1.9,3.2
1634,14698557,Poor Match,7,1,25,3.8,['payroll'],"['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'compliance', 'employee relations', 'shrm', 'compensation', 'orientation', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'excel', 'recruitment']",Poor Match (Reject),3.8,6.0,4.5
1635,28772892,Poor Match,10,1,25,3.8,['compliance'],"['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'excel', 'recruitment']",Poor Match (Reject),3.8,4.4,4.0
1636,33704389,Poor Match,4,1,25,3.8,['microsoft office'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,4.7,4.1
1637,90363254,Poor Match,4,1,25,3.8,['conflict resolution'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel']",Poor Match (Reject),3.8,2.1,3.3
1638,34745915,Poor Match,2,1,25,3.8,['microsoft office'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,11.3,6.0
1639,34689720,Poor Match,3,1,25,3.8,['compliance'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,2.0,3.3
1640,38457612,Poor Match,4,1,25,3.8,['compliance'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,9.6,5.5
1641,28243590,Poor Match,3,1,25,3.8,['word'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,7.5,4.9
1642,10235211,Poor Match,3,1,25,3.8,['microsoft office'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,6.7,4.7
1643,47067533,Poor Match,4,1,25,3.8,['microsoft office'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,7.8,5.0
1644,16846478,Poor Match,5,1,25,3.8,['compensation'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,6.1,4.5
1645,11232471,Poor Match,3,1,25,3.8,['benefits'],"['performance management', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,5.3,4.2
1646,91189201,Poor Match,2,1,25,3.8,['excel'],"['performance management', 'benefits', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'conflict resolution']",Poor Match (Reject),3.8,6.1,4.5
1647,10333051,Poor Match,6,1,25,3.8,['compliance'],"['performance management', 'benefits', 'ada', 'employment law', 'kronos', 'adp', 'employee relations', 'shrm', 'compensation', 'orientation', 'payroll', 'onboarding', 'microsoft office', 'conflict resolution', 'dental', 'paychex', 'fmla', 'workers compensation', 'talent acquisition', 'phr', 'powerpoint', 'word', 'hris', 'excel', 'recruitment']",Poor Match (Reject),3.8,3.9,3.8
1648,43622023,Poor Match,3,1,25,3.8,['benefits'],"['performance management', 'ada', 'dental', 'paychex', 'employment law', 'fmla', 'kronos', 'adp', 'compliance', 'workers compensation', 'employee relations', 'talent acquisition', 'shrm', 'phr', 'compensation', 'orientation', 'recruitment', 'powerpoint', 'payroll', 'onboarding', 'word', 'microsoft office', 'hris', 'excel', 'conflict resolution']",Poor Match (Reject),3.8,8.8,5.3
